id,question,topic,complexity,answer,regulation,cross_references,explanation,PIPELINE Testing,AGENTIC,RAG,Baseline
17,Can I authorize one family member but not others to get information?,Family and Partners,advanced,Yes,"45 CFR 164.522, 45 CFR 164.510(b)",,Individual have the right to request restriction of uses and disclosures of PHI about the individual and disclosures permitted under 45 CFR 164.510(b). Providers should follow your stated preferences when applicable.,PASSED,PASSED,,
18,Can my emergency contact see my full medical record?,Family and Partners,advanced,No,"45 CFR §164.502(g), 45 CFR 164.510(b)",,Disclosures are limited to what’s relevant to the person's involvement with the individual's care or payment related to individual's health care or needed for notifications purposes unless they’re a personal representative or you authorize broader sharing.,Passed - Violation,Passed - Violation,,
19,Can my caregiver access my medical information?,Family and Partners,intermediate,No,"45 CFR §164.502(g), 45 CFR 164.510(b)",,Disclosures are limited to what’s relevant to the person's involvement with the individual's care or payment related to individual's health care or needed for notifications purposes unless they’re a personal representative or you authorize broader sharing.,Passed - Violation,Passed - Violation,,
20,Can my child access my medical records if I’m hospitalized?,Family and Partners,advanced,No,"45 CFR §164.502(g), 45 CFR 164.510(b)",,Disclosures are limited to what’s relevant to the person's involvement with the individual's care or payment related to individual's health care or needed for notifications purposes unless they’re a personal representative or you authorize broader sharing.,Passed - Violation,Passed - Violation,,
21,Is it okay for my doctor to email me my test results?,Communication,basic,Yes,"45 C.F.R. § 164.522(b), 45 C.F.R. § 164.530(c), 45 C.F.R. § 164.312(e)",,"Under 164.522(b),  A covered health care provider must permit individuals to request and must accommodate reasonable requests by individuals to receive communications of protected health information from the covered health care provider by alternative means or at alternative locations. A covered entity must reasonably safeguard protected health information to made pursuant to an otherwise permitted or required use or disclosure under 164.530(c) and 164.312(e).",PASSED,PASSED,,
22,Can a nurse leave details about my condition on my voicemail?,Communication,intermediate,Yes,"45 CFR §164.510(b)(2); §164.502(a), 45 C.F.R. § 164.530(c)",,"A covered entity is permitted to use or disclose PHI to the individual. When the individual is present, the covered entity may give disclosure if they obtained individual's agreement, present with the opportunity to object to the disclosure and did not object, and based on professional judgement per 45 CFR §164.510(b)(2). A covered entity must reasonably safeguard protected health information to made pursuant to an otherwise permitted or required use or disclosure under 164.530(c).",PASSED,PASSED,,
23,Can my doctor text me about my diagnosis?,Communication,intermediate,Yes,"45 C.F.R. § 164.522(b), 45 C.F.R. § 164.530(c)",,"Under 164.522(b),  A covered health care provider must permit individuals to request and must accommodate reasonable requests by individuals to receive communications of protected health information from the covered health care provider by alternative means or at alternative locations. A covered entity must reasonably safeguard protected health information to made pursuant to an otherwise permitted or required use or disclosure under 164.530(c).",,,,
24,Can I ask my provider to only contact me through email?,Communication,basic,Yes,"45 C.F.R. § 164.522(b), 45 C.F.R. § 164.530(c)",,"Under 164.522(b),  A covered health care provider must permit individuals to request and must accommodate reasonable requests by individuals to receive communications of protected health information from the covered health care provider by alternative means or at alternative locations. A covered entity must reasonably safeguard protected health information to made pursuant to an otherwise permitted or required use or disclosure under 164.530(c).",,,,
25,Can a clinic call my workplace to reach me?,Communication,intermediate,Yes,"45 CFR §164.510(b)(2); §164.502(a), 45 C.F.R. § 164.530(c)",,"A covered entity is permitted to use or disclose PHI to the individual. When the individual is present, the covered entity may give disclosure if they obtained individual's agreement, present with the opportunity to object to the disclosure and did not object, and based on professional judgement per 45 CFR §164.510(b)(2). A covered entity must reasonably safeguard protected health information to made pursuant to an otherwise permitted or required use or disclosure under 164.530(c).",,,,
26,Can medical staff discuss my condition over the phone with me?,Communication,basic,Yes,"45 CFR §164.510(b)(2); §164.502(a), 45 C.F.R. § 164.530(c)",,"A covered entity is permitted to use or disclose PHI to the individual. When the individual is present, the covered entity may give disclosure if they obtained individual's agreement, present with the opportunity to object to the disclosure and did not object, and based on professional judgement per 45 CFR §164.510(b)(2).  A covered entity must reasonably safeguard protected health information to made pursuant to an otherwise permitted or required use or disclosure under 164.530(c).",,,,
27,Can telehealth visits be recorded?,Communication,intermediate,Yes,45 CFR §164.502(a); §164.508,,"Recording can be part of operations/treatment, but sharing the recording beyond permitted purposes may require an authorization, depending on the use/disclosure.",,,,
28,Can I request encrypted emails for my medical information?,Communication,advanced,Yes,"45 CFR §164.312(e); §164.522(b), 164.530(c)",,"Under 164.522(b),  A covered health care provider must permit individuals to request and must accommodate reasonable requests by individuals to receive communications of protected health information from the covered health care provider by alternative means or at alternative locations. A covered entity must reasonably safeguard protected health information to made pursuant to an otherwise permitted or required use or disclosure under 164.530(c). In addition, 164.312(e) states that technical security measures must be implemented to guard against unauthorized access to electronic PHI being transmitted over an electronic communications network",,,,
29,Can a provider communicate with me through a patient portal only?,Communication,basic,Yes,"45 CFR §164.522(b), 164.530(c)",,"Under 164.522(b),  A covered health care provider must permit individuals to request and must accommodate reasonable requests by individuals to receive communications of protected health information from the covered health care provider by alternative means or at alternative locations. A covered entity must reasonably safeguard protected health information to made pursuant to an otherwise permitted or required use or disclosure under 164.530(c).",,,,
30,Can my doctor talk to me about my condition in a shared hospital room?,Communication,intermediate,Yes,45 CFR §164.502(a); §164.530(c),,"Under 164.502(a), covered entity is allowed to disclose the individual's condition if they are talking to the individual, however there should be safeguards to limit incidental uses or disclosure per CFR 164.530(c).",,,,
31,Can I request my psychotherapy notes from my therapist?,Mental Health,advanced,No ,"45 CFR 164.524(a)(1)(i), 164.501",,"According to 164.524, psychotherapy notes is excluded from right of access. Psychotherapy notes excludes medication prescription and monitoring, counseling session start and stop times, the modalities and frequencies of treatment furnished, results of clinical tests, and any summary of the following items: Diagnosis, functional status, the treatment plan, symptoms, prognosis, and progress to date.",,,,
32,Can my therapist share session notes with my primary care doctor?,Mental Health,advanced,Yes,45 CFR §164.508(a),,An authorization is requiredfrom the individual for disclosing psycotherapy notes with limitied execptions listed in CFR 164.508(a)(2),,,,
33,Are mental health records treated differently than other medical records?,Mental Health,intermediate,Yes,45 CFR §164.524(a)(1); §164.501,,"Per 164.501, Psychotherapy notes excludes medication prescription and monitoring, counseling session start and stop times, the modalities and frequencies of treatment furnished, results of clinical tests, and any summary of the following items: Diagnosis, functional status, the treatment plan, symptoms, prognosis, and progress to date. Only Psychotherapy notes are excluded from the designated record set, per 164.524(a)(1)",,,,
34,Can my parents access my counseling records from college health services?,Mental Health,advanced,No ,45 CFR §164.502(g),,"Generally, if the individual is not a minor, the parents would not have access to the health records unless they are a personal representative. ",,,,
35,Can my psychiatrist share my diagnosis with my employer?,Mental Health,advanced,No ,"45 CFR §164.508(a), 45 CFR §164.512(b)",,"Generally, not without the individual's written authorization with exception of certain HIPAA permissiom/requirements applies, per 45 CFR §164.512(b)(1)(v). If one of the exceptions are reached, then covered entity need to notify the individual if the record is disclosed and give the opportunity to restrict or prohibit some or all of the uses or disclosures discussed in 45 CFR §164.512(a)(1) .",,,,
36,Can substance use treatment records be shared with other providers?,Mental Health,advanced,Yes,42 CFR Part 2,,"Generally yes, however there are federal law protections to disclosing substance use treatment records, which can be stricter than HIPAA alone, per 42 CFR Part 2. For example, patients must provide written, signed consent to disclose records to othee providers, in exception of situations such as medical emergencies and reporting child abuse or neglect.",,,,
37,Can I deny access to my mental health records?,Mental Health,advanced,Yes,45 CFR §164.522(a),,"An individual should be permitted to request the covered entity to restrict uses or disclosures of PHI about the individual to carry out treatment, payment, or health care operations and disclosures permitted under 164.510(b). However, covered entity is not required to agree to the restriction with 164.522(a)(1)(vi).",,,,
38,Can my therapist share information if they’re concerned about my safety?,Mental Health,intermediate,Yes,45 CFR §164.512(j),,"Per 45 CFR §164.512(j), A covered entity may, consistent with applicable law and standards of ethical conduct, use or disclose PHI, if the covered entity, in good faith, believes the use or dislosure is (1) necessary to prevent or lesson a serious and imminent threat to the health or safety of a person or the public and; (2) is to a person or persons reasonably able to prevent or lessen the threat, including target of threat. Per 45 CFR §164.512(f)(2), The covered entity may disclose only the following information:

(A) Name and address;

(B) Date and place of birth;

(C) Social security number;

(D) ABO blood type and rh factor;

(E) Type of injury;

(F) Date and time of treatment;

(G) Date and time of death, if applicable; and

(H) A description of distinguishing physical characteristics, including height, weight, gender, race, hair and eye color, presence or absence of facial hair (beard or moustache), scars, and tattoos.",,,,
39,Are therapy notes included when I request my full medical record?,Mental Health,advanced,No ,45 CFR §164.524(a)(1)(i),,"According to 164.524, psychotherapy notes is excluded from right of access. Psychotherapy notes excludes medication prescription and monitoring, counseling session start and stop times, the modalities and frequencies of treatment furnished, results of clinical tests, and any summary of the following items: Diagnosis, functional status, the treatment plan, symptoms, prognosis, and progress to date.",,,,
40,Can I ask for a summary instead of full psychotherapy notes?,Mental Health,intermediate,Yes,45 CFR §164.524(c)(2)(iii),,"Per 45 CFR §164.524(c)(2)(iii), the covered entity may provide the individual with a summary of the protected health information requested, in lieu of providing access to the protected health information or may provide an explanation of the protected health information to which access has been provided, if:

(A) The individual agrees in advance to such a summary or explanation; and

(B) The individual agrees in advance to the fees imposed, if any, by the covered entity for such summary or explanation. However, the summary would be of a treatment record rather than the actual notes.",,,,
41,Can a school share student vaccination records?,Education and Schools,intermediate,Yes,FERPA ,,"Generally, student's health records are protected by FERPA, thus schools need to get prior written consent from the eligible student or the parent to disclose the PII, but there are also exceptions from getting consent as well. Nonstudent records in the instituation would fall under HIPAA privacy rule. ",,,,
42,Can my employer request proof of a medical condition?,Employment,intermediate,Yes,"45 CFR §164.502(a); ADA, FMLA",,"Your employer can ask you for a doctor’s note or other health information if they need the information for sick leave, workers’ compensation, wellness programs, or health insurance.
However, if your employer asks your health care provider directly for information about you, your provider cannot give your employer the information without your authorization unless other laws require them to do so.",,,,
43,Can HR see my diagnosis if I take medical leave?,Employment,advanced,No,45 CFR §164.508(a),,"Your employer can ask you for a doctor’s note or other health information if they need the information for sick leave, workers’ compensation, wellness programs, or health insurance.
However, if your employer asks your health care provider directly for information about you, your provider cannot give your employer the information without your authorization unless other laws require them to do so.",,,,
44,Can a university health center share records with my parents?,Education and Schools,advanced,No,45 CFR §164.502(g); FERPA,,"Generally, student's health records are protected by FERPA, thus schools need to get prior written consent from the eligible student to disclose the PII, but there are also exceptions from getting consent as well. Nonstudent records in the instituation would fall under HIPAA privacy rule. ",,,,
45,Can my insurance company see my full medical chart?,Insurance and Billing,intermediate,Yes,45 CFR §164.506(c),,"A covered entity may use or disclose PHI for its own treatment, payment, or health care operations per 164.506(c)",,,,
46,Can my doctor send records to my insurance without my permission?,Insurance and Billing,intermediate,Yes,45 CFR §164.506,,"A covered entity may use or disclose PHI for its own treatment, payment, or health care operations per 164.506(c)",,,,
47,Can law enforcement access my medical records?,Legal and Law Enforcement,advanced,Yes,45 CFR §164.512(f),,"A covered entity may disclose protected health information for a law enforcement purpose to a law enforcement official if the conditions in paragraphs (f)(1) through (f)(6) of this section are met, as applicable. per 45 CFR §164.512(f)",,,,
48,Can my medical records be used for research without asking me?,Research and Secondary Use,advanced,Yes,45 CFR §164.512(i),,There can be a board approval of a waiver of authorization with the IRB or a privacy board for certain research uses/disclosures per 45 CFR §164.512(i),,,,
49,Can I opt out of my data being used for training or studies?,Research and Secondary Use,advanced,Yes,45 CFR §164.522(a); §164.508; 45 CFR §164.514(e),,"The covered entity must permit an individual to request that the covered entity restrict the uses or disclosures of protected health information about the individual to carry out treatment, payment, or health care operations; Health care operations involves training program and thus individuals can opt-out from disclosure. However, if there is a waiver of authorization for research studies, the individual does not have the direct opt-out right as the research may proceed without the individual's authorization. A covered entity may use or disclose a Limited Data Set (no direct identifiers) under a data use agreement per 45 CFR §164.514(e)",,,,
50,Can a hospital share my information with a billing company?,Insurance and Billing,intermediate,Yes,45 CFR §164.506; §164.502(e),,"A covered entity may disclose protected health information to another covered entity or a health care provider for the payment activities of the entity that receives the information. In addition, a covered entity may disclose PHI to a business associate and may allow a business associate to create, receive, maintain, or transmit PHI on its behalf, as long as the covered entity obtains assurance that the business associate will appropriately safeguard the information. ",,,,
51,"If HHS investigates my provider for HIPAA compliance, can the provider disclose my psychotherapy notes to HHS without my authorization?",Mental Health,,Yes,45 CFR § 164.508; § 164.502 (a)(2)(ii),Yes,Psychotherapy notes are required to be disclosed if the covered entity is under investigation by the HHS (per 164.502) and this does not need authorization (per 164.508),,,PASSED,PASSED
52,Can my spouse see my lab results without me being there if I previously asked my health provider not to share information with family members?,Family and Partners,,No,45 CFR § 164.510 (b)(3); § 164.522(a)(1),Yes,"HIPAA permits a provider to share relevant information with family or others involved in care when the patient is absent or incapacitated, based on professional judgment and best interests (per 164.510). However, they may not provide PHI to the spouse if it previously agreed with the patient's privacy protection request (per 164.522(a)(1)). Unless the patient is in need of emergency treatment, the provider may not disclose relavant PHI to the family or others involved in care (per 164.522(a)(1)(iii))",,,,
53,Can a hospital disclose my PHI to medical trainees while I am unconscious if it previously agreed to my request not to share any PHI with medical trainees?,,,No,,Yes,"No, if their health care provider agrees to the restriction. The Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy Rule requires covered entities to allow individuals to request that the covered entities restrict the use and disclosure of their protected health information (PHI) for treatment, payment, or health care operations. A covered entity generally is not required to agree to the requested restrictions. However, if a covered entity agrees to an individual’s requested restriction, it must comply with the agreed-upon restriction, except for purposes of treating the individual in a medical emergency or under certain other circumstances specified in the Privacy Rule. The covered entity must also document the agreed-upon restriction.

https://www.hhs.gov/hipaa/for-professionals/faq/can-an-individual-restrict-who-has-access-to-their-protected-health-information-during-a-medical-procedure/index.html",,,,
54,Can a hospital disclose my PHI to my medical trainees while I need emergency treatment if it previously agreed to my request not to share any PHI with medical trainees?,,,Yes,,Yes,"Under the emergency treatment exception, when a patient who requested the restriction is in need of emergency treatment, a covered entity is permitted to use or disclose only the restricted PHI that is needed to provide the emergency treatment

https://www.hhs.gov/hipaa/for-professionals/faq/can-an-individual-restrict-who-has-access-to-their-protected-health-information-during-a-medical-procedure/index.html",,,,
55,"Is it okay for my doctor to email me my test results if I requested email contact, but I did not want detailed diagnosis information left in insecure channels?",,,Yes,45 C.F.R. § 164.530(c); 45 C.F.R. § 164.522(b),Yes,"Per 45 C.F.R. § 164.530(c), providers must have adminstrative, technical, and physical safeguards to protect PHIs. Given this, the provider is allowed to accomodate with the customer if they request to communicate with the provider through alternative means and location per 45 C.F.R. § 164.522(b). This means ""By the same token, however, if the use of unencrypted e-mail is unacceptable to a patient who requests confidential communications, other means of communicating with the patient, such as by more secure electronic methods, or by mail or telephone, should be offered and accommodated.""",,,,
57,Can my hospital use my PHI for advertisement and research? ,,,Yes,164.508(a)(3); § 164.512 (i),Yes,"164.508(a)(3) states that authorization for use and disclosure is required for marketing except when there is a face to face communication with the covered entity or the patient was provided a promotional gift of nominal value by the covered entity. For research, per § 164.512(i), a covered entity would be allowed to share PHI given if they got an board approval to waive the authorization to use or disclose PHI, reviews prepatory for research (meaning that the PHI is used to review research proposals, kept at covered entity, and if the PHI is needed for the research), and research on decendant's information.",,,,
58,Can a hospital send my PHI to public health authorities without my permission if I test positive for a reportable disease?,,,Yes,"§ 164.510; 
§ 164.512(b)",Yes,"Per § 164.512(b), a covered entity are not required to obtain authorization to use and disclose PHI to public health authorities authorized by law to collect PHI to control/prevent diseases, report diseases, and etc",,,,
59,Can my provider use my PHI for creating a research database and for marketing outreach without my authorization?,,,No,164.508(a)(3); § 164.512 (i),Yes,"Yes. A covered entity may use or disclose protected health information without individuals’ authorizations for the creation of a research database, provided the covered entity obtains documentation that an IRB or Privacy Board has determined that the specified waiver criteria were satisfied. However, PHI usage without authorization of disclosure for marketing outreach is not permitted. ",,,,
60,Can my doctor recommend a paid weight-loss program to me in person without my authorization if the clinic is being paid to promote it?,,,Yes,164.508(a)(3);,Yes,164.508(a)(3) states that authorization for use and disclosure is required for marketing except when there is a face to face communication with the covered entity or the patient was provided a promotional gift of nominal value by the covered entity.,,,,
